BIOL111,"Biodiversity in Central Texas"
CHEM342,"Instrumental Techniques"
CHEM342L,"Instrumental Techniques Lab"
CHEM344,"Physical Chemistry I"
CHEM344L,"Physical Chemistry I Lab"
CHEM345,"Physical Chemistry II"
CHEM345L,"Physical Chemistry II Lab"
CHEM411,"Senior Seminar I"
CHEM412,"Senior Seminar II"
CHEM414,"Physiology/Biochemistry Laboratory"
CHEM434,"Biochemical Principles"
CHEM435,"Medicinal Chemistry"
CHEM436,"Environmental Chemistry"
CHEM437,"Metabolic Biochemistry"
NSCI140,"Intro to Natural Sciences"
NSCI140L,"Intro to Natural Sciences Lab"

CSCI136,"Introduction to C Programming"
CSCI248,"Object-Oriented Programming"
CSCI249,"Object-Oriented Design and Methodology"
CSCI270,"Introduction to Computer Science"
CSCI332,"Computer Networks"
CSCI334,"Database Design"
CSCI335,"Computer Architecture and Operating Systems"
CSCI337,"Data Structures and Algorithms"
CSCI339,"Unix Programming"
CSCI371,"Web Programming and Applications"
CSCI372,"Computer Graphics"
CSCI379,"Parallel and Distributed Systems"
CSCI434,"Software Development and Professional Practice"
CSCI436,"Computer and Network Security"
CSCI437,"Senior Seminar and Research Project"
ISYS133,"Applications Software"
ISYS231,"Introduction to Information Systems"
ISYS232,"Business Spreadsheet Applications"
ISYS332,"System Analysis & Design"
ISYS333,"Electronic Commerce"

MATH113,"Workshop in Mathematics"
MATH130,"College Mathematics"
MATH133,"College Algebra"
MATH136,"Calculus for Business, Economics and Social Sciences"
MATH139,"Data Models"
MATH148,"Precalculus"
MATH233,"Discrete Mathematics"
MATH234,"Introduction to Advanced Mathematics"
MATH241,"Calculus I"
MATH242,"Calculus II"
MATH331,"Elementary Linear Algebra"
MATH333,"Calculus III"
MATH334,"Differential Equations"
MATH335,"Introduction to Abstract Algebra"
MATH337,"Geometry"
MATH338,"Numerical Methods"
MATH372,"Number Theory"
MATH375,"Concepts in Mathematics I"
MATH376,"Concepts in Mathematics II"
MATH432,"Real Analysis"
MATH433,"Mathematical Statistics and Probability I"
MATH434,"Mathematical Statistics and Probability II"
MATH436,"Introduction to Topology"
MATH437,"Senior Research and Capstone"
STAT374,"Statistics"
STAT375,"Applied Statistics"
DAIC531,"Data Mining"
DAST532,"Advanced Statistical Methods II"

PHYS131,"Freshman Sem: Tools for Success in Science & Engineering"
PHYS131L,"Freshman Sem: Tools for Success in Science & Engineering Lab"
PHYS141,"General College Physics I"
PHYS141L,"General College Physics I Lab"
PHYS142,"General College Physics II"
PHYS142L,"General College Physics II Lab"
PHYS143,"Physics of Modern World Issues"
PHYS144,"Concepts of Astronomy & Physics"
PHYS240,"Intro Physics for Scientists and Engineers I"
PHYS240L,"Intro Physics for Scientists and Engineers I Lab"
PHYS241,"Intro Physics for Scientists and Engineers II"
PHYS241L,"Intro Physics for Scientists and Engineers II Lab"
PHYS313,"Modern Physics Laboratory"
PHYS331,"Mechanics"
PHYS332,"Electricity and Magnetism"
PHYS334,"Modern Physics"
PHYS335,"Quantum Mechanics"
PHYS336,"Statistical Thermodynamics"
PHYS337,"Dynamics"
PHYS348,"Applied Optics"
PHYS348L,"Applied Optics Lab"
PHYS371,"Mathematical Methods for Scientists and Engineers"
PHYS381,"Digital Electronics"
PHYS381L,"Digital Electronics Lab"
PHYS384,"Advanced Physics Lab Lecture"
PHYS384L,"Advanced Physics Lab"
PHYS390,"Applied Computational Physics I"
PHYS391,"Applied Computational Physics II"
PHYS392,"Thermal & Fluids Physics for Engineering"
PHYS438,"Senior Seminar in Physics"

FREX134,"Exploring the Arts and Sciences"
